Entry	Entry name	Protein names	Taxonomic lineage (PHYLUM)	Taxonomic lineage (ORDER)	Taxonomic lineage (SPECIES)	Taxonomic lineage (FAMILY)
A0A1S5WAK7	A0A1S5WAK7_STRGY	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus gallolyticus	Streptococcaceae
A0A1S5WFU1	A0A1S5WFU1_STRGY	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus gallolyticus	Streptococcaceae
A0A1S7FVY2	A0A1S7FVY2_9LIST	Uncharacterized protein	Firmicutes	Bacillales	Listeria weihenstephanensis	Listeriaceae
A0A1S8G3X5	A0A1S8G3X5_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1S8L161	A0A1S8L161_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridium felsineum	Clostridiaceae
A0A1S8L1S1	A0A1S8L1S1_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridium felsineum	Clostridiaceae
A0A1S8LDD8	A0A1S8LDD8_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridium roseum	Clostridiaceae
A0A1S8LJ14	A0A1S8LJ14_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridium felsineum	Clostridiaceae
A0A1S8LJJ0	A0A1S8LJJ0_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridium roseum	Clostridiaceae
A0A1S8LQ66	A0A1S8LQ66_9CLOT	Uncharacterized protein	Firmicutes	Eubacteriales	Clostridium roseum	Clostridiaceae
A0A1S9SYW9	A0A1S9SYW9_BACMY	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1S9T4M7	A0A1S9T4M7_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1S9TP61	A0A1S9TP61_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A1S9UD77	A0A1S9UD77_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A1S9UDM9	A0A1S9UDM9_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A1S9V6K3	A0A1S9V6K3_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A1S9XLR3	A0A1S9XLR3_BACMY	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1S9XRJ4	A0A1S9XRJ4_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1S9XVK8	A0A1S9XVK8_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1S9YJR2	A0A1S9YJR2_BACCE	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A1S9YJV9	A0A1S9YJV9_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A1S9YM35	A0A1S9YM35_BACCE	Cytoplasmic protein (DUF4176 domain-containing protein)	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A1T2PT77	A0A1T2PT77_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A1T2PU63	A0A1T2PU63_BACCE	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A1T3V017	A0A1T3V017_BACAN	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus anthracis	Bacillaceae
A0A1T3V7I8	A0A1T3V7I8_BACAN	Uncharacterized protein	Firmicutes	Bacillales	Bacillus anthracis	Bacillaceae
A0A1U7NFQ5	A0A1U7NFQ5_9FIRM	Uncharacterized protein	Firmicutes	Erysipelotrichales	Ileibacterium valens	Erysipelotrichaceae
A0A1U7NQR9	A0A1U7NQR9_9FIRM	Uncharacterized protein	Firmicutes	Erysipelotrichales	Dubosiella newyorkensis	Erysipelotrichaceae
A0A1V0H167	A0A1V0H167_STRGN	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus gordonii	Streptococcaceae
A0A1V2SLJ8	A0A1V2SLJ8_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus azizii	Streptococcaceae
A0A1V2SLP1	A0A1V2SLP1_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus azizii	Streptococcaceae
A0A1V2UG57	A0A1V2UG57_ENTMU	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Enterococcus mundtii	Enterococcaceae
A0A1V2UGE6	A0A1V2UGE6_ENTMU	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus mundtii	Enterococcaceae
A0A1V5BL53	A0A1V5BL53_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Pelotomaculum sp. PtaU1.Bin035	Peptococcaceae
A0A1V5PWK3	A0A1V5PWK3_9FIRM	Uncharacterized protein	Firmicutes		Firmicutes bacterium ADurb.Bin354	
A0A1V5PWR9	A0A1V5PWR9_9FIRM	Uncharacterized protein	Firmicutes		Firmicutes bacterium ADurb.Bin354	
A0A1V5Q4F8	A0A1V5Q4F8_9FIRM	Uncharacterized protein	Firmicutes		Firmicutes bacterium ADurb.Bin354	
A0A1W1V5E3	A0A1W1V5E3_9PAST	Uncharacterized protein	Proteobacteria	Pasteurellales	Pasteurella testudinis	Pasteurellaceae
A0A1W1V5L7	A0A1W1V5L7_9PAST	Uncharacterized protein	Proteobacteria	Pasteurellales	Pasteurella testudinis	Pasteurellaceae
A0A1W1V7M9	A0A1W1V7M9_9PAST	Uncharacterized protein	Proteobacteria	Pasteurellales	Pasteurella testudinis	Pasteurellaceae
A0A1W1Z9U8	A0A1W1Z9U8_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Oscillospiraceae bacterium	Oscillospiraceae
A0A1W6A4D0	A0A1W6A4D0_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1W6WJE8	A0A1W6WJE8_BACTU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A1X1FSP8	A0A1X1FSP8_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1GTH6	A0A1X1GTH6_STROR	Transposase	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1H9U0	A0A1X1H9U0_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1HA66	A0A1X1HA66_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1HAB3	A0A1X1HAB3_STROR	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1HAH5	A0A1X1HAH5_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1HAV9	A0A1X1HAV9_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1HB11	A0A1X1HB11_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1HB89	A0A1X1HB89_STROR	Uncharacterized protein (Fragment)	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1HW23	A0A1X1HW23_STROR	Type II secretion protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1HW38	A0A1X1HW38_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1IL38	A0A1X1IL38_STROR	Transposase	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1IM55	A0A1X1IM55_STROR	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1IMC4	A0A1X1IMC4_STROR	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1IPE8	A0A1X1IPE8_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1IPR2	A0A1X1IPR2_STROR	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1IQN8	A0A1X1IQN8_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1IRQ8	A0A1X1IRQ8_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1J477	A0A1X1J477_STROR	Type II secretion protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1J4J2	A0A1X1J4J2_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1J4K6	A0A1X1J4K6_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1J4L5	A0A1X1J4L5_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1J4Q2	A0A1X1J4Q2_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1J5C8	A0A1X1J5C8_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1J5G2	A0A1X1J5G2_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1J5I0	A0A1X1J5I0_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1J5K1	A0A1X1J5K1_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1JFB7	A0A1X1JFB7_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1JFE3	A0A1X1JFE3_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1JGW4	A0A1X1JGW4_STROR	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus oralis	Streptococcaceae
A0A1X1JMR0	A0A1X1JMR0_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A1X1JMW2	A0A1X1JMW2_STRMT	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A1X1JWW4	A0A1X1JWW4_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A1X1JX17	A0A1X1JX17_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A1X1JX34	A0A1X1JX34_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A1X1KD72	A0A1X1KD72_STRMT	Type II secretion protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A1X1L320	A0A1X1L320_STRMT	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus mitis	Streptococcaceae
A0A1X3MTI0	A0A1X3MTI0_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus toyonensis	Bacillaceae
A0A1X6PMW7	A0A1X6PMW7_BACMY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus mycoides	Bacillaceae
A0A1X7HAH0	A0A1X7HAH0_9BACL	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus uliginis	Paenibacillaceae
A0A1X9I6T6	A0A1X9I6T6_9CAUD	Putative EsaC protein-like protein	Uroviricota	Caudovirales	Streptococcus phage phiJH1301-2	Siphoviridae (phages with long non-contractile tails)
A0A1Y0TRU8	A0A1Y0TRU8_BACTU	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A1Y3M982	A0A1Y3M982_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus pseudomycoides	Bacillaceae
A0A1Y3YPJ7	A0A1Y3YPJ7_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Pseudoflavonifractor sp. An44	Oscillospiraceae
A0A1Y3YT21	A0A1Y3YT21_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Pseudoflavonifractor sp. An44	Oscillospiraceae
A0A1Y4G313	A0A1Y4G313_9ACTN	Uncharacterized protein	Actinobacteria	Eggerthellales	Gordonibacter sp. An230	Eggerthellaceae
A0A1Y4G6L7	A0A1Y4G6L7_9ACTN	Uncharacterized protein	Actinobacteria	Eggerthellales	Gordonibacter sp. An230	Eggerthellaceae
A0A1Y4J1B9	A0A1Y4J1B9_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Faecalibacterium sp. An192	Oscillospiraceae
A0A1Y4KDB3	A0A1Y4KDB3_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Pseudoflavonifractor sp. An187	Oscillospiraceae
A0A1Y4LXM3	A0A1Y4LXM3_9FIRM	Uncharacterized protein	Firmicutes	Erysipelotrichales	Faecalitalea cylindroides	Erysipelotrichaceae
A0A1Y4SX97	A0A1Y4SX97_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Faecalibacterium sp. An122	Oscillospiraceae
A0A1Y4V166	A0A1Y4V166_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Eubacterium sp. An11	Eubacteriaceae
A0A224X2E9	A0A224X2E9_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus reticulitermitis	Streptococcaceae
A0A224X337	A0A224X337_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus reticulitermitis	Streptococcaceae
A0A224X369	A0A224X369_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus reticulitermitis	Streptococcaceae
A0A224XB34	A0A224XB34_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus reticulitermitis	Streptococcaceae
A0A224XB43	A0A224XB43_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus reticulitermitis	Streptococcaceae
A0A224XEF7	A0A224XEF7_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus reticulitermitis	Streptococcaceae
A0A226R5X6	A0A226R5X6_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus sp. M13(2017)	Bacillaceae
A0A229MBY7	A0A229MBY7_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus sp. KbaL1	Bacillaceae
A0A229MCI2	A0A229MCI2_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus sp. KbaL1	Bacillaceae
A0A229MCN3	A0A229MCN3_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus sp. KbaL1	Bacillaceae
A0A231VV03	A0A231VV03_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. KR	Streptococcaceae
A0A231VVE5	A0A231VVE5_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. KR	Streptococcaceae
A0A231VYH7	A0A231VYH7_9STRE	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus sp. KR	Streptococcaceae
A0A239RBV7	A0A239RBV7_9FIRM	Uncharacterized protein	Firmicutes	Eubacteriales	Lachnospiraceae bacterium	Lachnospiraceae
A0A239RC22	A0A239RC22_STREI	Uncharacterized protein	Firmicutes	Lactobacillales	Streptococcus equinus (Streptococcus bovis)	Streptococcaceae
A0A239X8T7	A0A239X8T7_STRAI	Putative EsaC protein analog (Listeria type 3)	Firmicutes	Lactobacillales	Streptococcus acidominimus	Streptococcaceae
A0A239ZQ99	A0A239ZQ99_9STAP	Putative EsaC protein analog (Listeria type 3)	Firmicutes	Bacillales	Mammaliicoccus stepanovicii	Staphylococcaceae
A0A242AU33	A0A242AU33_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 7F3_DIV0205	Enterococcaceae
A0A242AU98	A0A242AU98_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 7F3_DIV0205	Enterococcaceae
A0A242B5Y8	A0A242B5Y8_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 7E2_DIV0204	Enterococcaceae
A0A242BER6	A0A242BER6_ENTFC	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus faecium (Streptococcus faecium)	Enterococcaceae
A0A242BER8	A0A242BER8_ENTFC	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus faecium (Streptococcus faecium)	Enterococcaceae
A0A242BF51	A0A242BF51_ENTFC	DUF4176 domain-containing protein	Firmicutes	Lactobacillales	Enterococcus faecium (Streptococcus faecium)	Enterococcaceae
A0A242CDZ2	A0A242CDZ2_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 4G2_DIV0659	Enterococcaceae
A0A242CVG6	A0A242CVG6_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 3H8_DIV0648	Enterococcaceae
A0A242CVJ2	A0A242CVJ2_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 3H8_DIV0648	Enterococcaceae
A0A242DL05	A0A242DL05_ENTS3	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. (strain 3G1_DIV0629)	Enterococcaceae
A0A242DM64	A0A242DM64_ENTS3	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. (strain 3G1_DIV0629)	Enterococcaceae
A0A242GYG4	A0A242GYG4_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 12C11_DIV0727	Enterococcaceae
A0A242IC54	A0A242IC54_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 10F3_DIV0382	Enterococcaceae
A0A242IDY2	A0A242IDY2_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 10F3_DIV0382	Enterococcaceae
A0A242KUR9	A0A242KUR9_ENTMU	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus mundtii	Enterococcaceae
A0A242L944	A0A242L944_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus termitis	Enterococcaceae
A0A242LL22	A0A242LL22_9ENTE	Uncharacterized protein	Firmicutes	Lactobacillales	Enterococcus sp. 7D2_DIV0200	Enterococcaceae
A0A242W350	A0A242W350_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A242WMH0	A0A242WMH0_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A242XLN0	A0A242XLN0_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A242XNW0	A0A242XNW0_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A242Y176	A0A242Y176_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A242Z1Q1	A0A242Z1Q1_9BACI	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus wiedmannii	Bacillaceae
A0A242ZSL0	A0A242ZSL0_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A242ZZD1	A0A242ZZD1_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243A5V3	A0A243A5V3_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243A7Y4	A0A243A7Y4_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243AAC8	A0A243AAC8_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243ABP5	A0A243ABP5_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243ACB6	A0A243ACB6_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243AGB1	A0A243AGB1_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243ANB6	A0A243ANB6_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243AZJ6	A0A243AZJ6_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243BED8	A0A243BED8_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243BJD3	A0A243BJD3_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243BKN7	A0A243BKN7_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243BPG7	A0A243BPG7_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243C8D2	A0A243C8D2_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243CSJ3	A0A243CSJ3_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243E7J4	A0A243E7J4_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243EKA5	A0A243EKA5_BACTY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243EP91	A0A243EP91_BACTY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243FCR5	A0A243FCR5_BACUK	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243FEF8	A0A243FEF8_BACTY	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243FFT0	A0A243FFT0_BACUK	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243GC93	A0A243GC93_BACTF	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243GV30	A0A243GV30_BACTF	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243IUX3	A0A243IUX3_BACHU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243IV03	A0A243IV03_BACHU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243J9R0	A0A243J9R0_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243JU11	A0A243JU11_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243K5E9	A0A243K5E9_BACTU	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243KRB4	A0A243KRB4_BACUH	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243KZA4	A0A243KZA4_BACTU	Uncharacterized protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A243L7E6	A0A243L7E6_BACTJ	Cytoplasmic protein	Firmicutes	Bacillales	Bacillus thuringiensis	Bacillaceae
A0A249X6K2	A0A249X6K2_BACCE	Uncharacterized protein	Firmicutes	Bacillales	Bacillus cereus	Bacillaceae
A0A259TJS7	A0A259TJS7_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus sp. XY044	Paenibacillaceae
A0A261EXK3	A0A261EXK3_9BIFI	Uncharacterized protein	Actinobacteria	Bifidobacteriales	Pseudoscardovia radai	Bifidobacteriaceae
A0A264YX51	A0A264YX51_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Priestia aryabhattai	Bacillaceae
A0A268AG80	A0A268AG80_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus saccharophilus	Bacillaceae
A0A268AWZ2	A0A268AWZ2_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus sp. 7523-1	Paenibacillaceae
A0A268BNL8	A0A268BNL8_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus sp. 7520-G	Bacillaceae
A0A268BNM3	A0A268BNM3_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus sp. 7520-G	Bacillaceae
A0A268BPW3	A0A268BPW3_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus sp. 7520-G	Bacillaceae
A0A268DZ99	A0A268DZ99_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Bacillus sp. 7586-K	Bacillaceae
A0A268F4V6	A0A268F4V6_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus campinasensis	Paenibacillaceae
A0A268F5D0	A0A268F5D0_NIACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Niallia circulans (Bacillus circulans)	Bacillaceae
A0A268FBL9	A0A268FBL9_NIACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Niallia circulans (Bacillus circulans)	Bacillaceae
A0A268HEQ6	A0A268HEQ6_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus saccharophilus	Bacillaceae
A0A268I723	A0A268I723_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Virgibacillus sp. 7505	Bacillaceae
A0A268S8Q5	A0A268S8Q5_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus sp. 7516	Paenibacillaceae
A0A269WAU3	A0A269WAU3_9BACL	Cytoplasmic protein	Firmicutes	Bacillales	Paenibacillus sp. 7541	Paenibacillaceae
A0A285N151	A0A285N151_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus aidingensis	Bacillaceae
A0A285N6C8	A0A285N6C8_9BACI	Uncharacterized protein	Firmicutes	Bacillales	Terribacillus aidingensis	Bacillaceae
A0A286HCN8	A0A286HCN8_RATRA	Uncharacterized protein	Actinobacteria	Micrococcales	Rathayibacter rathayi (Corynebacterium rathayi)	Microbacteriaceae
A0A286HE25	A0A286HE25_RATRA	Uncharacterized protein	Actinobacteria	Micrococcales	Rathayibacter rathayi (Corynebacterium rathayi)	Microbacteriaceae
A0A286HFD8	A0A286HFD8_RATRA	Uncharacterized protein	Actinobacteria	Micrococcales	Rathayibacter rathayi (Corynebacterium rathayi)	Microbacteriaceae
A0A291KU59	A0A291KU59_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus glycinifermentans	Bacillaceae
A0A2A2P8Y3	A0A2A2P8Y3_9BACI	DUF4176 domain-containing protein	Firmicutes	Bacillales	Bacillus toyonensis	Bacillaceae
A0A2A5LN27	A0A2A5LN27_PAELA	Uncharacterized protein	Firmicutes	Bacillales	Paenibacillus lautus (Bacillus lautus)	Paenibacillaceae
A0A2A5LPU2	A0A2A5LPU2_PAELA	DUF4176 domain-containing protein	Firmicutes	Bacillales	Paenibacillus lautus (Bacillus lautus)	Paenibacillaceae
A0A2A5RST4	A0A2A5RST4_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus piscium	Streptococcaceae
A0A2A5RT93	A0A2A5RT93_9LACT	Uncharacterized protein	Firmicutes	Lactobacillales	Lactococcus piscium	Streptococcaceae
